mime	name	exts	default_mime	default_ext	categories	count
video/vnd.dece-mp4					video	2
application/ibooks						2
text/x-ms-regedit						2
application/KaluzaAnalysis						2
application/vnd.openxmlformats-officedocument.wordprocessingml.t						2
application/wps-office.docx						2
application/x-python-bytecode						2
image/tif						2
application/x-desktop						2
application/vnd.wolfram.player						2
text/html;charset=ISO-8859-1						2
text/nlogo						2
text/csv; charset=utf-8						2
text/html;charset=UTF-8						2
audio/mid						2
text/htm						2
application/softgrid-inp						2
appplication/pdf						2
image/x-mrsid-image						2
application/vnd.ms-publisher						2
text/unknown						2
application/vnd.clustal.aln						2
text/vnd.dvb.subtitle						2
application/x-rtf						2
text/x-tcl						2
image/x-emf						2
applicaton/octet-stream						2
image/x-wmf						2
application/vnd.wolfram.cdf						2
application/rdata						2
application/htmlf						2
text/gff3						2
application/vnd.nexus.nex						2
text/vtt						2
audio/x-stm						2
application/x-pkcs7-crl						2
text/r						2
application/x-tex-pk						2
application/dwg						2
application/x-trash						2
image/jpx						2
model/stl						2
text/xls						2
application/twbx						2
text/x-readme						2
biosequence/phylip						2
application/vnd.ms-word.document.12						2
application/jpeg						2
application/DCD						2
application/irp						2
image/vnd.radiance						2
audio/x-sd2						2
application/wordperfect						2
application/x-osptracker						2
video/x-dv					video	2
application/zip; charset=utf-8						2
video/3gpp		.3gp		.3gp	video	1
application/vnd.claymore		.cla				1
chemical/x-cml		.cml				1
application/vnd.novadigm.ext		.ext				1
image/g3fax		.g3				1
application/vnd.geogebra.file		.ggb				1
application/vnd.hp-hps		.hps				1
application/vnd.iccprofile		.icc,.icm				1
application/x-mobipocket-ebook		.mobi,.prc				1
application/vnd.apple.installer+xml		.mpkg				1
application/vnd.fdsn.mseed		.mseed				1
model/vnd.mts		.mts				1
application/vnd.recordare.musicxml		.mxl				1
application/x-dtbncx+xml		.ncx				1
application/oebps-package+xml		.opf				1
application/vnd.oasis.opendocument.spreadsheet-template		.ots				1
